a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             1階,4.45万円,2750円,8.9万円,-,1K,29.18m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.75万円,2550円,9.5万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,3600円,9.3万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.75万円,3600円,9.5万円,-,1DK,34.47m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             1階,5.05万円,3000円,-,5.05万円,2DK,50.29m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,61.45m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             2階,5.65万円,3000円,-,5.65万円,2LDK,61.45m2
シンプルガーデンＢ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩24分   , 築9年 2階建 ,             1階,5.55万円,2200円,-,5.55万円,2DK,50.33m2
シンプルガーデンＢ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩24分   , 築9年 2階建 ,             2階,5.85万円,2200円,-,5.85万円,2LDK,57.21m2
アルカンシエル　Ｂ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩20分   , 築12年 2階建 ,             1階,5.25万円,1700円,-,5.25万円,2DK,44.75m2
エパル,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築7年 2階建 ,             1階,5.8万円,2500円,5.8万円,-,1LDK,43.23m2
エパル,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築7年 2階建 ,             1階,5.9万円,2500円,5.9万円,5.9万円,1LDK,43.23m2
トワイエ　ノールII,島根県出雲市平野町, 一畑電車大社線/高浜駅 歩18分   , 築8年 2階建 ,             1階,5.15万円,3000円,-,5.15万円,1LDK,50.07m2
フォルトゥーナ,島根県出雲市大社町北荒木, 一畑電車大社線/出雲大社前駅 歩15分   , 築10年 2階建 ,             1階,6.2万円,2500円,6.2万円,-,2LDK,52.95m2
ニュ－　シェ－ドＢ,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩26分   , 築8年 2階建 ,             1階,5.25万円,3000円,-,5.25万円,1LDK,48.27m2
ブルーローズ　I,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩22分   , 築8年 2階建 ,             1階,5.05万円,3000円,-,5.05万円,2DK,50.29m2
ブルーローズ　I,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩22分   , 築8年 2階建 ,             2階,5.5万円,3000円,-,5.5万円,2LDK,57.19m2
センティア.ｍ,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩23分 一畑電気鉄道松江線/電鉄出雲市駅 歩24分  , 築5年 2階建 ,             2階,5.8万円,3500円,-,-,1LDK,32.77m2
センティア.ｍ,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩23分 一畑電気鉄道松江線/電鉄出雲市駅 歩24分  , 築5年 2階建 ,             2階,5.9万円,3500円,-,-,1LDK,32.77m2
フローリッシュ,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩30分 , 築10年 3階建 ,             1階,5.8万円,2000円,5.8万円,-,1LDK,40m2
フローリッシュ,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩30分 , 築10年 3階建 ,             2階,6万円,2000円,6万円,-,1LDK,40m2
フローリッシュ,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩30分 , 築10年 3階建 ,             2階,6万円,3000円,12万円,-,1LDK,40m2
コルテージア,島根県出雲市大社町北荒木, 一畑電車大社線/出雲大社前駅 歩17分   , 築7年 2階建 ,             2階,6.5万円,2500円,6.5万円,-,2LDK,57.47m2
エレット　Ａ棟,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩18分   , 築17年 2階建 ,             2階,5.8万円,2200円,-,-,2LDK,57.13m2
ＪＲ山陰本線 出雲市駅 2階建 築17年,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩19分   , 築17年 2階建 ,             2階,5.8万円,2200円,-,-,2LDK,57.13m2
プラモニー,島根県出雲市大津朝倉１, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩16分 一畑電気鉄道松江線/電鉄出雲市駅 歩22分 ＪＲ山陰本線/出雲市駅 歩24分 , 築8年 2階建 ,             2階,6.1万円,4000円,-,6.1万円,1LDK,44.88m2
ニューソレイユＢ,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩22分   , 築13年 2階建 ,             1階,5.05万円,1700円,-,5.05万円,2DK,44.7m2
フリーデン,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩12分   , 築8年 2階建 ,             1階,6万円,1500円,6万円,-,1LDK,45.46m2
フィオーレ,島根県出雲市斐川町美南, ＪＲ山陰本線/直江駅 車6分(2.1km)   , 築11年 2階建 ,             1階,5.3万円,2000円,-,-,2K,46.68m2
フィオーレ,島根県出雲市斐川町美南, ＪＲ山陰本線/直江駅 車6分(2.1km)   , 築11年 2階建 ,             1階,5.5万円,2000円,-,-,2K,46.68m2
ブランシュII,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩24分   , 築12年 2階建 ,             2階,5.8万円,3000円,5.8万円,-,2DK,56.31m2
ブランシュII,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩24分   , 築12年 2階建 ,             2階,5.9万円,3000円,5.9万円,-,2DK,56.31m2
ファインパレスV,島根県出雲市医大南町２, ＪＲ山陰本線/出雲市駅 歩26分   , 築11年 3階建 ,             1階,6.1万円,2000円,6.1万円,-,1LDK,48m2
Ａｎｉｍａｔｅ　Ｂ,島根県出雲市小山町, 一畑電車大社線/高浜駅 歩28分   , 築15年 2階建 ,             1階,5.85万円,2200円,-,5.85万円,2LDK,52.57m2
ラ・チェドゥオ,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 車9分(2.7km)   , 築11年 2階建 ,             2階,5.9万円,2000円,11.8万円,-,1LDK,48m2
ラ・チェドゥオ,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 車9分(2.7km)   , 築11年 2階建 ,             2階,6万円,2000円,6万円,-,1LDK,48m2
ラ・チェドゥオ,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 車9分(2.7km)   , 築11年 2階建 ,             1階,6.1万円,2000円,6.1万円,-,1LDK,48m2
ウィステリア　Ａ,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩24分   , 築5年 2階建 ,             2階,6.45万円,2200円,-,6.45万円,2LDK,58.21m2
カームプレイス神前,島根県出雲市塩冶神前４, ＪＲ山陰本線/出雲市駅 歩25分   , 築11年 2階建 ,             1階,6.2万円,2000円,6.2万円,-,1LDK,41.96m2
ヴェルエクセラン,島根県出雲市平野町, 一畑電車大社線/遙堪駅 歩17分 一畑電車大社線/高浜駅 歩18分  , 築3年 2階建 ,             1階,5.2万円,3500円,-,5.2万円,ワンルーム,30.1m2
ヴェルエクセラン,島根県出雲市平野町, 一畑電車大社線/遙堪駅 歩17分 一畑電車大社線/高浜駅 歩18分  , 築3年 2階建 ,             2階,5.7万円,3500円,-,-,1LDK,42.66m2
グランオッツイズモ,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 歩22分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩29分 , 築7年 3階建 ,             1階,5.9万円,3500円,-,-,1LDK,40.73m2
グランオッツイズモ,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 歩22分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩29分 , 築7年 3階建 ,             2階,5.9万円,3500円,-,-,1LDK,40.73m2
グランオッツイズモ,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 歩22分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩29分 , 築7年 3階建 ,             3階,6.3万円,3500円,-,6.3万円,1LDK,40.92m2
エスポワールＢ,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩19分   , 築4年 2階建 ,             1階,6.2万円,2800円,-,6.2万円,1LDK,45.19m2
エスポワールＢ,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩19分   , 築4年 2階建 ,             2階,6.95万円,2800円,-,6.95万円,2LDK,56.72m2
レイヨン　ドゥ　ソレイユ　Ｂ,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩17分   , 築18年 2階建 ,             2階,5.4万円,1700円,-,-,1LDK,47.79m2
アトリエール,島根県出雲市塩冶町, 一畑バス/海上南 歩3分   , 築5年 2階建 ,             1階,5.8万円,2500円,-,2.9万円,1LDK,40.42m2
ブランドール　ＯＨＮＯ,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩24分   , 築15年 2階建 ,             2階,6.1万円,2000円,-,-,2LDK,61.6m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.6万円,3000円,8.4万円,5.6万円,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.7万円,3000円,5.7万円,-,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             1階,5.7万円,3000円,5.7万円,-,1LDK,36.53m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.2万円,3000円,6.2万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.3万円,3000円,6.3万円,-,1LDK,43.31m2
ピースフル,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩28分   , 新築 2階建 ,             2階,6.3万円,3000円,6.3万円,-,1LDK,43.31m2
クレイノヴィラオクスガー出雲,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩16分 一畑電気鉄道松江線/電鉄出雲市駅 歩15分  , 築7年 2階建 ,             2階,4.8万円,4500円,-,4.8万円,1K,25.89m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.7万円,4000円,-,5.7万円,1LDK,32.03m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,35.32m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,32.03m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,32.03m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.9万円,4000円,-,5.9万円,1LDK,35.32m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.9万円,4000円,-,5.9万円,1LDK,32.03m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,5.9万円,4000円,-,5.9万円,1LDK,32.03m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,6万円,4000円,-,6万円,1LDK,35.32m2
エターナル大津,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 広島～三次・出雲線/神立橋 歩3分  , 新築 3階建 ,             1階,6万円,4000円,-,6万円,1LDK,32.03m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,5.7万円,4000円,-,5.7万円,1LDK,30.09m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,5.7万円,4000円,-,5.7万円,1LDK,30.9m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,30.9m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,30.9m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,5.8万円,4000円,-,5.8万円,1LDK,30.7m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             2階,5.9万円,4000円,-,5.9万円,1LDK,33.07m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,6万円,4000円,-,6万円,1LDK,33.07m2
Lien塩冶,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩8分   , 新築 3階建 ,             1階,6万円,4000円,-,6万円,1LDK,30.7m2
福良雀の丘,島根県出雲市大社町杵築南, 一畑電車大社線/出雲大社前駅 歩7分   , 築5年 2階建 ,             2階,6.5万円,2800円,-,6.5万円,2LDK,58.43m2
シャンポール・ジェイ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩30分   , 築6年 2階建 ,             1階,4.6万円,2000円,4.6万円,-,1K,30.87m2
シャンポール・ジェイ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩30分   , 築6年 2階建 ,             2階,4.7万円,2000円,4.7万円,-,1K,30.87m2
ウェンブリ,島根県出雲市高岡町, 一畑電気鉄道松江線/武志駅 歩16分 一畑電車大社線/高浜駅 歩22分 一畑電気鉄道松江線/川跡駅 歩27分 , 築18年 3階建 ,             1階,6.6万円,3000円,-,-,3LDK,70.13m2
ウェンブリ,島根県出雲市高岡町, 一畑電気鉄道松江線/武志駅 歩16分 一畑電車大社線/高浜駅 歩22分 一畑電気鉄道松江線/川跡駅 歩27分 , 築18年 3階建 ,             2階,6.7万円,3000円,-,-,3LDK,70.13m2
トレイル,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩32分   , 新築 2階建 ,             2階,6.2万円,3500円,6.2万円,-,1LDK,42.82m2
トレイル,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩32分   , 新築 2階建 ,             2階,6.2万円,3500円,6.2万円,-,1LDK,42.82m2
トレイル,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩32分   , 新築 2階建 ,             2階,6.3万円,3500円,6.3万円,-,1LDK,42.82m2
バリュージュ佐野　Ｃ棟,島根県出雲市中野美保南２, 一畑電気鉄道松江線/大津町駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩21分 ＪＲ山陰本線/出雲市駅 歩29分 , 築22年 2階建 ,             2階,5.8万円,2000円,-,-,3DK,54.07m2
バリュージュ佐野　Ｃ棟,島根県出雲市中野美保南２, 一畑電気鉄道松江線/大津町駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩21分 ＪＲ山陰本線/出雲市駅 歩29分 , 築22年 2階建 ,             2階,5.8万円,2000円,-,-,2LDK,54.07m2
エレガンス姫原,島根県出雲市姫原１, ＪＲ山陰本線/出雲市駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩22分 , 築18年 3階建 ,             1階,5.4万円,3500円,-,-,1LDK,33.56m2
エレガンス姫原,島根県出雲市姫原１, ＪＲ山陰本線/出雲市駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩22分 , 築18年 3階建 ,             1階,5.4万円,3500円,-,-,1LDK,33.56m2
エレガンス姫原,島根県出雲市姫原１, ＪＲ山陰本線/出雲市駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 歩19分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩22分 , 築18年 3階建 ,             1階,5.4万円,3500円,-,-,1LDK,33.56m2
ライトアップル・Ｋ　Ａ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩21分   , 築21年 2階建 ,             1階,5.1万円,1700円,-,-,2DK,42.77m2
SQUARE35　Ｂ棟,島根県出雲市姫原２, ＪＲ山陰本線/出雲市駅 歩21分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩25分 , 築20年 2階建 ,             2階,5.6万円,2000円,-,-,2DK,43.01m2
メルシー　Ｃ棟,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩11分 ＪＲ山陰本線/出雲市駅 歩12分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩15分 , 築17年 2階建 ,             1階,5.8万円,2500円,-,-,1LDK,51.01m2
Ｅｃｒａｒｇｅ　Ｂ棟,島根県出雲市高岡町, 一畑バス/ゆめタウン出雲前バス停 歩4分   , 築10年 2階建 ,             2階,7.6万円,3500円,-,3.8万円,3LDK,67.25m2
グランシャリオ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス18分 (バス停)高松前 歩6分   , 築6年 2階建 ,             2階,7.2万円,4000円,-,7.2万円,2LDK,57.83m2
リビングタウン渡橋　B棟,島根県出雲市渡橋町, バス/渡橋北 歩4分   , 築18年 2階建 ,             1階,5.3万円,3500円,-,5.3万円,ワンルーム,34.73m2
ニューマリッチ９８,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 バス14分 (バス停)島根県立中央病院 歩9分   , 築26年 3階建 ,             2階,5.55万円,2800円,-,-,3DK,55.84m2
ニューマリッチ９８,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 バス14分 (バス停)島根県立中央病院 歩9分   , 築26年 3階建 ,             1階,5.95万円,2500円,-,-,1LDK,55.84m2
ピュアーズ０６　Ａ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             1階,4.35万円,2750円,8.7万円,-,ワンルーム,28.98m2
ピュアーズ０６　Ａ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,1500円,9.3万円,-,1DK,33.43m2
ピュアーズ０６　Ａ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,1500円,9.3万円,-,1DK,33.43m2
ピュアーズ０６　Ａ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,33.43m2
ピュアーズ０６　Ａ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,33.43m2
レオパレス長通川２,島根県出雲市西平田町, 一畑電気鉄道松江線/雲州平田駅 歩14分   , 築16年 2階建 ,             2階,4.6万円,4500円,-,4.6万円,1K,23.18m2
メゾンヤマコII,島根県出雲市平田町, 一畑電気鉄道松江線/雲州平田駅 歩23分 一畑電気鉄道松江線/旅伏駅 歩25分 一畑電気鉄道松江線/美談駅 歩41分 , 築20年 2階建 ,             1階,3.8万円,-,-,-,1K,24m2
エクセル白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩31分   , 築27年 2階建 ,             1階,3.8万円,2000円,7.6万円,-,2DK,43.86m2
タカオカハイツI,島根県出雲市高岡町, 一畑電気鉄道松江線/武志駅 歩19分 一畑電車大社線/高浜駅 歩22分  , 築29年 2階建 ,             1階,3.6万円,2000円,3.6万円,3.6万円,1K,23.76m2
メゾンひまわり,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 ＪＲ山陰本線/出雲市駅 歩18分  , 築42年 3階建 ,             2階,3.6万円,2000円,-,3.6万円,1DK,29.7m2
ビレッジハウス松寄　1号棟,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 歩36分 ＪＲ山陰本線/西出雲駅 歩46分 一畑電車大社線/遙堪駅 歩44分 , 築56年 4階建 ,             3階,3.1万円,-,-,-,2K,28.98m2
エクシリア,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 歩19分   , 築4年 3階建 ,             1階,5.45万円,2200円,-,5.45万円,1SK,36.96m2
エクシリア,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 歩19分   , 築4年 3階建 ,             3階,6.45万円,2200円,-,6.45万円,1LDK,59.21m2
ボンアミ　Ｂ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩18分   , 築9年 2階建 ,             2階,5.45万円,2200円,-,5.45万円,2LDK,57.21m2
ボンアミ　Ｂ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩18分   , 築9年 2階建 ,             2階,5.6万円,2200円,-,5.6万円,2LDK,57.19m2
アリエッタ　I,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,61.45m2
アルドーレ　Ａ,島根県出雲市矢野町, 一畑電車大社線/高浜駅 歩22分   , 築5年 2階建 ,             1階,5.4万円,3000円,-,5.4万円,2LDK,53.63m2
アルドーレ　Ａ,島根県出雲市矢野町, 一畑電車大社線/高浜駅 歩22分   , 築5年 2階建 ,             1階,5.6万円,3000円,-,5.6万円,2LDK,53.63m2
セカンドアクア,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩19分   , 築9年 2階建 ,             1階,5万円,3000円,-,5万円,1LDK,46.06m2
セカンドアクア,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩19分   , 築9年 2階建 ,             2階,5.6万円,3000円,-,5.6万円,2LDK,57.19m2
一畑電車大社線 遙堪駅 2階建 築7年,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩19分 一畑電車大社線/高浜駅 車6分(2.4km) 一畑電車大社線/浜山公園北口駅 車8分(3.0km) , 築7年 2階建 ,             1階,5.05万円,3000円,-,5.05万円,2DK,50.29m2
一畑電車大社線 遙堪駅 2階建 築7年,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩19分 一畑電車大社線/高浜駅 車6分(2.4km) 一畑電車大社線/浜山公園北口駅 車8分(3.0km) , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,61.45m2
一畑電車大社線 遙堪駅 2階建 築7年,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩19分 一畑電車大社線/高浜駅 車6分(2.4km) 一畑電車大社線/浜山公園北口駅 車8分(3.0km) , 築7年 2階建 ,             2階,5.65万円,3000円,-,5.65万円,2LDK,61.45m2
アヴィタシオンＫ－IV　Ｂ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス4分 (バス停)渡橋 歩3分   , 築7年 2階建 ,             2階,5.7万円,2200円,-,5.7万円,2LDK,56.36m2
ハウオリ　エカヒ,島根県出雲市芦渡町, ＪＲ山陰本線/西出雲駅 歩13分   , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,59.59m2
ａｎｇｅ　I,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩22分   , 築7年 2階建 ,             2階,5.6万円,2200円,-,5.6万円,2LDK,61.45m2
ａｎｇｅ　I,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 歩22分   , 築7年 2階建 ,             2階,5.65万円,2200円,-,5.65万円,2LDK,61.45m2
