a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ヴィラちいみや,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩1分   , 築29年 2階建 ,             1階,4.3万円,-,8.6万円,4.3万円,2DK,45.36m2
ヴィラちいみや,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩1分   , 築29年 2階建 ,             2階,4.5万円,-,9万円,4.5万円,2DK,45.36m2
ヴィラちいみや,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩1分   , 築29年 2階建 ,             1階,4.5万円,-,9万円,4.5万円,2DK,45.36m2
グランドメゾン００８,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス14分 (バス停)白枝北 歩8分   , 築26年 2階建 ,             1階,4.2万円,3000円,4.2万円,4.2万円,2DK,38.5m2
ローズマリーＡ・Ｂ,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 車5分(2.2km)   , 築23年 2階建 ,             1階,4.3万円,-,-,4.3万円,1K,26.28m2
ローズマリーＡ・Ｂ,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 車5分(2.2km)   , 築23年 2階建 ,             1階,4.3万円,-,-,4.3万円,1K,26.28m2
ローズマリーＡ・Ｂ,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 車5分(2.2km)   , 築23年 2階建 ,             2階,4.3万円,-,-,4.3万円,1K,26.28m2
ローズマリーＡ・Ｂ,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 車5分(2.2km)   , 築23年 2階建 ,             2階,4.3万円,-,-,4.3万円,1K,26.28m2
ウエルハウス,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩23分 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩34分 , 築25年 2階建 ,             2階,4万円,-,12万円,-,1K,36.03m2
コーポエスペランス,島根県出雲市塩冶原町２, ＪＲ山陰本線/出雲市駅 車6分(2.3km)   , 築29年 2階建 ,             1階,4.3万円,-,8.6万円,4.3万円,2K,36.4m2
一畑電気鉄道松江線 武志駅 2階建 築28年,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 車4分(1.6km) 一畑電気鉄道松江線/大津町駅 車6分(2.2km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.4km) , 築28年 2階建 ,             2階,4.3万円,2500円,-,-,2DK,40.57m2
コーポタウン２１III　ＷＥＳＴ,島根県出雲市塩冶神前３, ＪＲ山陰本線/出雲市駅 歩15分   , 築27年 2階建 ,             2階,4.2万円,3000円,4.2万円,4.2万円,1DK,40.14m2
佐貫アパート３号館,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩2分 ＪＲ山陰本線/出雲市駅 歩26分  , 築35年 2階建 ,             1階,4万円,-,8万円,4万円,3DK,57.96m2
佐貫アパート３号館,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩2分 ＪＲ山陰本線/出雲市駅 歩26分  , 築35年 2階建 ,             1階,4万円,-,8万円,4万円,3DK,57.96m2
佐貫アパート２号館,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩2分 ＪＲ山陰本線/出雲市駅 歩26分  , 築35年 2階建 ,             1階,4万円,-,8万円,4万円,3DK,57.96m2
